region_sdg,year,avg_wat_basal_t	
Latin America and the Caribbean,2005,92.89407753655173	
Latin America and the Caribbean,2006,93.08567422517243	
Latin America and the Caribbean,2007,93.20436110448276	
Latin America and the Caribbean,2008,93.32452299827585	
Latin America and the Caribbean,2009,93.50403627068967	
Latin America and the Caribbean,2010,93.6864507413793	
Latin America and the Caribbean,2011,93.89978540000003	
Latin America and the Caribbean,2012,94.11944847933333	
Latin America and the Caribbean,2013,94.28280049166666	
Latin America and the Caribbean,2014,94.44805818666669	
Latin America and the Caribbean,2015,94.61029626100002	
Latin America and the Caribbean,2016,94.76683910666665	
Latin America and the Caribbean,2017,94.70834187	
Latin America and the Caribbean,2018,94.74354645076922	
Latin America and the Caribbean,2019,94.90966265346151	
Latin America and the Caribbean,2020,94.92578908399999	
Latin America and the Caribbean,2021,95.09585025958332	
Latin America and the Caribbean,2022,95.23066895499998	
Latin America and the Caribbean,2023,95.35592363374998	
Latin America and the Caribbean,2024,95.46350737083334	
Northern Africa and Western Asia,2000,93.05478776833333	
Northern Africa and Western Asia,2001,93.28041617916666	
Northern Africa and Western Asia,2002,93.50945018583333	
Northern Africa and Western Asia,2003,93.74129593250001	
Northern Africa and Western Asia,2004,93.97179330666667	
Northern Africa and Western Asia,2005,94.20415938333332	
Northern Africa and Western Asia,2006,94.43688547166664	
Northern Africa and Western Asia,2007,94.66922952833333	
Northern Africa and Western Asia,2008,94.9011708975	
Northern Africa and Western Asia,2009,95.13260497583333	
Northern Africa and Western Asia,2010,95.36524869416667	
Northern Africa and Western Asia,2011,95.59823247083331	
Northern Africa and Western Asia,2012,95.83193716833334	
Northern Africa and Western Asia,2013,96.06512686916669	
Northern Africa and Western Asia,2014,96.29732604499999	
Northern Africa and Western Asia,2015,96.52423153000001	
Northern Africa and Western Asia,2016,96.74209889833334	
Northern Africa and Western Asia,2017,96.95939093666668	
Northern Africa and Western Asia,2018,97.16340860666666	
Northern Africa and Western Asia,2019,97.34393634916667	
Northern Africa and Western Asia,2020,97.48825542916667	
Northern Africa and Western Asia,2021,97.586040375	
Northern Africa and Western Asia,2022,97.71254623833335	
Northern Africa and Western Asia,2023,97.79638880416667	
Northern Africa and Western Asia,2024,97.88022950916667	
Oceania,2000,90.915100205	
Oceania,2001,91.152447295	
Oceania,2002,91.36450000500001	
Oceania,2003,91.57574696666667	
Oceania,2004,91.78705556833334	
Oceania,2005,91.99834236666668	
Oceania,2006,92.23332102166667	
Oceania,2007,92.48661586166666	
Oceania,2008,92.73567849166666	
Oceania,2009,92.97231284333333	
Oceania,2010,93.18786036833335	
Oceania,2011,93.40160672500001	
Oceania,2012,93.610982655	
Oceania,2013,93.81563152833333	
Oceania,2014,94.01830196166667	
Oceania,2015,94.21890538666666	
Oceania,2016,94.416687985	
Oceania,2017,94.61144533333334	
Oceania,2018,94.80328232333333	
Oceania,2019,94.992165125	
Oceania,2020,95.17798966833334	
Oceania,2021,95.36082065666666	
Oceania,2022,95.55717033833332	
Oceania,2023,95.58810074333333	
Oceania,2024,95.62425023833333	
Sub-Saharan Africa,2000,57.60841545880002	
Sub-Saharan Africa,2001,58.0813670892	
Sub-Saharan Africa,2002,58.540401769199995	
Sub-Saharan Africa,2003,59.042485064400005	
Sub-Saharan Africa,2004,59.56891650320001	
Sub-Saharan Africa,2005,60.096634908	
Sub-Saharan Africa,2006,60.6560831504	
Sub-Saharan Africa,2007,61.23045152560002	
Sub-Saharan Africa,2008,61.81105942319999	
Sub-Saharan Africa,2009,62.3797171012	
Sub-Saharan Africa,2010,62.947115047999986	
Sub-Saharan Africa,2011,63.52856202960002	
Sub-Saharan Africa,2012,64.10048565480001	
Sub-Saharan Africa,2013,64.66046617720002	
Sub-Saharan Africa,2014,65.1957917756	
Sub-Saharan Africa,2015,65.72896569359999	
Sub-Saharan Africa,2016,66.27158296880002	
Sub-Saharan Africa,2017,67.42356147124998	
Sub-Saharan Africa,2018,68.07447731130434	
Sub-Saharan Africa,2019,68.56797845347828	
Sub-Saharan Africa,2020,69.02109894695654	
Sub-Saharan Africa,2021,69.47131531652172	
Sub-Saharan Africa,2022,69.43099875714286	
Sub-Saharan Africa,2023,69.90823967761905	
Sub-Saharan Africa,2024,70.4035950309524	
